year	month_number	month_date	month_label	country	region	brand	subbrand	product	media	submedia	digital_lever	status	workflow_process	flight_status	flight_progress	retail_media	on_site_off_site	is_last_validated	source_row_count	proposal_amount	purchase_order_amount	media_net_eur	committed_gr_amount_eur	committed_media_amount_eur	committed_total_eur	rate_card_eur	media_production_cost_eur	ad_serving_cost_eur	specific_technical_cost_eur	handling_cost_eur	sampling_cost_eur	ad_verification_cost_eur	trafficking_cost_eur	dsp_fees_eur	data_cost_eur	media_taxes_eur	media_agency_fees_eur	rebates_avb_eur	free_amount_eur	technical_costs_eur	non_media_costs_eur	gross_investment_eur
2025	6	2025-06-01	June 2025	China	National	Pure Ritual	Pure Ritual	Pure Ritual Foam Cleanser T125ml	Digital	Paid Search	Awareness	W20-N	Default State	Proposed	Trend	NA	NA	false	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2025	9	2025-09-01	September 2025	Greece	National	No Brand	No Sub Brand	OGD00020-LANCOME_SI#	Digital	All Digital	NA	W45-N	Realized	Realized	Trend	NA	NA	false	5	0.0	0.0	0.0	17087.21	0.0	17087.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.45	0.0	0.0	0.0	207.45	207.45
2025	12	2025-12-01	December 2025	Malaysia	National	No Brand	No Sub Brand	Total Armani	Digital	Social Media	Transactional	W22-N	Default State	Proposed	Planned	NA	Unspecified	false	1	0.0	0.0	3510.48	0.0	3510.48	3510.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.84	0.0	0.0	0.0	0.0	280.84	3791.32
2025	10	2025-10-01	October 2025	United States	National	L'Oreal Cosmetics	L'Oreal True Match	Le Glow Tint	Digital	All Digital	NA	W47-N	Realized	Realized	Trend	NA	NA	false	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2025	5	2025-05-01	May 2025	Israel	National	Moisturizing Cream + Lotion	Moisturizing Lotion	Moisturizing Lotion 16oz	Digital	Social Media	Awareness	W40-N	Realized	Realized	Trend	NA	NA	false	6	0.0	0.0	45249.88	0.0	45249.88	45249.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45249.88
2025	12	2025-12-01	December 2025	Colombia	National	Garnier Skinactive Face	Ga.Toilette Micellaire	Garnier Skin Retailer Media	Digital	Affiliate Media	Transactional	W45-N	Planned	Planned	Trend	NA	Unspecified	false	1	0.0	0.0	1406.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1406.59
2025	12	2025-12-01	December 2025	United Kingdom	National	No Brand	No Sub Brand	LANCOME SKINCARE ALL	Digital	All Digital	NA	Current	Realized	Realized	Realized	NA	NA	false	6	0.0	0.0	0.0	62406.34	0.0	62406.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2025	9	2025-09-01	September 2025	France	National	L'Oreal Skincare	L'Oreal Age Perfect Skin	Age Perfect CellRen Le Duo Ser Pb30	TV	TV Sponsorship	Awareness	W35-N	Realized	Realized	Realized	NA	NA	false	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2025	3	2025-03-01	March 2025	Mexico	National	Anthelios	Anthelios Cream	ANTH Uvmune Cream 50+ SP 50ml 22	TV	Inversion Televisa (Iv)	NA	W07-N	Planned	Planned	Trend	NA	NA	false	3	0.0	0.0	228201.33	228201.33	228201.33	456402.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228201.33
2025	8	2025-08-01	August 2025	China	National	Powercell Skinmunity	Powercell Skinmunity	Powercell Skinmunity Serum F50mlR22	Digital	Social Media	Awareness	W48-N	Default State	Proposed	Realized	NA	NA	false	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
