region	f0_
Albania	14348
Austria	8033
Azerbaijan	126
BE National	29460
BE north	2043
BE south	903
Bahrain	54
Bosnia & Herzegovina	78538
Bulgaria	147432
Caribe - Dominican Republic	19612
Caribe - Other Islands	6915
Caribe - Puerto Rico	61696
Caribe - Trinidad & Tobago	6257
Croatia	151315
EN	42
Estonia	7307
FR	12
Georgia	3
Germany	19528
HK CrossBorder	7407
Kosovo	6906
Kuwait	642
Latvia	8259
Lithuania	10485
London	225
Macedonia	18272
Melbourne	177
Montenegro	15484
NL National	36799
National	10813185
Oman	18
Other Gulf Countries	174
Poland	76919
Portugal	406545
Qatar	591
Serbia	146801
Slovenia	99346
Spain	595391
Switzerland	8317
Sydney	39
Turkey	60092
Uzbekistan	198
