status	f0_
Current	855057
Pending validation	202610
W01-N	47302
W02-N	167530
W03-N	186320
W04-N	145710
W05-N	269868
W06-N	140878
W07-N	228624
W08-N	180513
W09-N	301049
W10-N	157358
W11-N	193781
W12-N	176557
W13-N	342280
W14-N	203802
W15-N	153243
W16-N	106622
W17-N	271522
W18-N	265358
W19-N	119140
W20-N	221330
W21-N	189477
W22-N	363514
W23-N	132769
W24-N	209227
W25-N	185948
W26-N	376487
W27-N	256845
W28-N	209378
W29-N	158787
W30-N	265947
W31-N	289037
W32-N	190283
W33-N	150070
W34-N	199370
W35-N	366293
W36-N	166002
W37-N	210989
W38-N	166864
W38-N-1	4290
W39-N	359318
W40-N	220495
W40-N-1	136
W41-N	169896
W41-N-1	4230
W42-N	203262
W42-N-1	5091
W43-N	237461
W43-N-1	30926
W44-N	323092
W44-N-1	30742
W45-N	176701
W45-N-1	12287
W46-N	213257
W46-N-1	8197
W47-N	222076
W47-N-1	7018
W48-N	298551
W48-N-1	20878
W49-N	187530
W49-N-1	55020
W50-N	264385
W50-N-1	98419
W51-N	214839
W51-N-1	231044
W52-N	141745
W52-N-1	73264
W53-N	24172
W53-N-1	3833
